Location,Site,Trial_ID,Species,Date,Plot_ID,TQR,RGB_Blue,RGB_Green,RGB_Red,RGB_CV_Blue,RGB_CV_Green,RGB_CV_Red,RGB_VARI,RGB_ExG,RGB_NGRDI,RGB_GR,RGB_CanopyDensity,RGB_LeafTexture,RGB_SurfaceUniformity,MS_Green,MS_Red,MS_RedEdge,MS_NIR,MS_CV_Green,MS_CV_Red,MS_CV_RedEdge,MS_CV_NIR,MS_NGRDI,MS_GR,MS_NDVI,MS_NDRE,MS_GNDVI,MS_GCI,MS_CanopyDensity,MS_LeafTexture,MS_SurfaceUniformity
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P031,7,0.0379,0.0712,0.0478,0.1455,0.02,0.1617,0.2877,0.0567,0.1962,1.4881,74.3419,0.0375,0.1138,0.075,0.0547,0.294,0.479,0.1738,0.2184,0.188,0.19,0.1569,1.3722,0.7951,0.2392,0.7292,5.3862,62.6361,0.1097,0.19
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P032,3,0.0505,0.0793,0.0616,0.2143,0.2179,0.1722,0.1958,0.0464,0.1256,1.2873,51.013,0.0965,0.1934,0.1119,0.0856,0.1725,0.2758,0.1226,0.2005,0.2135,0.1721,0.1332,1.3074,0.5263,0.2304,0.4228,1.4648,52.0002,0.1068,0.2114
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P033,5,0.0545,0.0905,0.0645,0.1676,0.1733,0.1278,0.2592,0.0621,0.168,1.404,66.874,0.1232,0.1841,0.1013,0.0746,0.2091,0.3495,0.221,0.1674,0.1711,0.1353,0.1518,1.3578,0.6483,0.2514,0.5507,2.4515,48.9179,0.1446,0.1392
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P034,3,0.0633,0.0951,0.0737,0.2083,0.1523,0.215,0.2028,0.0532,0.1267,1.2903,58.8353,0.1548,0.1872,0.0921,0.0717,0.2313,0.3538,0.1431,0.1669,0.2186,0.1928,0.1246,1.2847,0.6631,0.2095,0.5869,2.8419,59.4695,0.1104,0.1579
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P035,4,0.0604,0.0943,0.0707,0.2185,0.1963,0.1708,0.2259,0.0574,0.1431,1.3341,55.0953,0.1038,0.1302,0.1058,0.0768,0.1929,0.3135,0.2765,0.1721,0.2504,0.2014,0.1588,1.3776,0.6064,0.2381,0.4953,1.9629,66.446,0.0628,0.1314
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P036,5,0.0629,0.1026,0.0727,0.1377,0.2171,0.1191,0.2665,0.0696,0.1708,1.4121,62.1695,0.0758,0.099,0.0994,0.0683,0.239,0.3832,0.2276,0.2724,0.0944,0.1685,0.1857,1.4562,0.6975,0.2318,0.588,2.8539,65.6922,0.0643,0.1568
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P037,7,0.0393,0.0676,0.0492,0.1498,0.1514,0.1995,0.2375,0.0467,0.1575,1.374,83.4066,0.086,0.1571,0.0843,0.0599,0.237,0.4076,0.1876,0.0589,0.2234,0.1389,0.169,1.4068,0.7438,0.2647,0.6574,3.8378,92.963,0.1196,0.0744
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P038,6,0.051,0.0871,0.0607,0.2388,0.1327,0.1193,0.2726,0.0625,0.1785,1.4346,87.6622,0.0731,0.1356,0.0764,0.0535,0.2698,0.4393,0.0805,0.147,0.1399,0.1955,0.177,1.43,0.783,0.2391,0.7036,4.7473,61.9208,0.058,0.1647
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P039,5,0.0526,0.0866,0.0627,0.1858,0.2165,0.1827,0.2476,0.058,0.1604,1.3822,70.5244,0.0971,0.2242,0.0618,0.0494,0.3365,0.5096,0.166,0.1516,0.2321,0.1203,0.1114,1.2507,0.8232,0.2046,0.7837,7.2468,51.3385,0.1117,0.2044
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P040,2,0.0686,0.1049,0.0792,0.1342,0.1887,0.3228,0.2226,0.062,0.1396,1.3245,42.6116,0.1018,0.1812,0.1054,0.0772,0.218,0.3243,0.243,0.1194,0.1698,0.2509,0.1544,1.3651,0.6153,0.1961,0.5094,2.0764,52.1535,0.1527,0.1475
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P041,4,0.0545,0.0851,0.0651,0.2327,0.208,0.1417,0.2094,0.0506,0.1334,1.3078,60.0878,0.1458,0.1543,0.0899,0.0696,0.2361,0.3668,0.1495,0.2237,0.2132,0.2496,0.127,1.291,0.6809,0.2167,0.6063,3.0804,50.5246,0.104,0.1544
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P042,5,0.0626,0.0998,0.0723,0.1384,0.2578,0.1839,0.2507,0.0647,0.1596,1.3797,62.794,0.1105,0.1604,0.098,0.0686,0.2385,0.383,0.2918,0.1706,0.2105,0.2158,0.1761,1.4274,0.696,0.2326,0.5926,2.9088,72.0583,0.0789,0.1809
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P043,3,0.0696,0.1053,0.08,0.312,0.1506,0.1747,0.2181,0.061,0.1362,1.3154,51.8399,0.1647,0.126,0.1037,0.0779,0.228,0.3391,0.231,0.2555,0.1974,0.1746,0.1424,1.3322,0.6265,0.196,0.5315,2.2691,60.0061,0.111,0.2607
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P044,4,0.0611,0.0959,0.0715,0.1841,0.2012,0.2177,0.2297,0.0592,0.1459,1.3415,66.6479,0.0982,0.1257,0.0851,0.0675,0.2791,0.4178,0.1713,0.2256,0.15,0.1623,0.1156,1.2615,0.722,0.199,0.6616,3.9096,67.2113,0.1222,0.1125
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P045,7,0.0707,0.1156,0.0795,0.132,0.164,0.2035,0.2907,0.0811,0.1853,1.4549,75.2544,0.1417,0.1604,0.0859,0.0575,0.2732,0.4454,0.2315,0.2466,0.1848,0.2699,0.1983,1.4946,0.7714,0.2396,0.6766,4.1847,82.7419,0.1315,0.1094
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P046,5,0.0602,0.0913,0.0699,0.1385,0.1661,0.0727,0.2115,0.0525,0.1326,1.3057,80.3572,0.1148,0.1336,0.0935,0.0659,0.2478,0.398,0.2167,0.1893,0.1996,0.1646,0.173,1.4183,0.7157,0.2326,0.6195,3.2558,57.1019,0.0945,0.1726
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P047,4,0.0673,0.1023,0.0775,0.1611,0.2694,0.2091,0.2205,0.0598,0.1379,1.32,67.8019,0.0734,0.1263,0.0943,0.071,0.2511,0.3804,0.1792,0.2641,0.2356,0.1355,0.1412,1.3289,0.6856,0.2048,0.6027,3.0345,57.8545,0.074,0.1697
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P048,5,0.0439,0.0782,0.0544,0.1343,0.1729,0.1953,0.2692,0.0583,0.1802,1.4396,93.3448,0.0836,0.1306,0.0945,0.0681,0.2378,0.3842,0.1772,0.1672,0.1916,0.1908,0.1621,1.3868,0.6988,0.2354,0.6053,3.0668,55.0511,0.1576,0.1864
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P049,4,0.0821,0.1247,0.0913,0.1304,0.1839,0.213,0.2498,0.076,0.1548,1.3663,54.3711,0.0805,0.1748,0.1105,0.0775,0.1772,0.2967,0.1941,0.2107,0.2285,0.1879,0.1757,1.4262,0.5858,0.2522,0.4572,1.6847,52.8207,0.1526,0.1412
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P050,4,0.0537,0.0871,0.0644,0.2241,0.2643,0.1652,0.2321,0.056,0.1497,1.3522,72.441,0.1324,0.1663,0.0886,0.0725,0.2502,0.3828,0.3128,0.1815,0.2456,0.2489,0.1002,1.2227,0.6816,0.2095,0.624,3.3192,57.1438,0.0237,0.107
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P051,8,0.0338,0.0684,0.0436,0.1388,0.2167,0.1259,0.3172,0.0595,0.2216,1.5693,91.6424,0.0965,0.1225,0.0707,0.0498,0.279,0.4698,0.0281,0.098,0.1071,0.1808,0.1737,1.4205,0.8084,0.2548,0.7383,5.6436,71.0595,0.0697,0.1473
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P052,4,0.0597,0.0951,0.0698,0.0785,0.2264,0.1971,0.2402,0.0608,0.1533,1.3622,66.1767,0.1538,0.1175,0.0882,0.0702,0.2584,0.3993,0.1681,0.2098,0.1785,0.0807,0.1139,1.2571,0.701,0.2143,0.638,3.5246,59.7222,0.0968,0.1591
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P053,4,0.0701,0.106,0.0799,0.2092,0.2046,0.1097,0.2251,0.062,0.1402,1.3263,67.0803,0.061,0.1544,0.0827,0.0639,0.2743,0.4164,0.2107,0.0981,0.2415,0.1989,0.1281,1.2938,0.734,0.2058,0.6688,4.0378,62.466,0.1253,0.1738
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P054,6,0.0596,0.0963,0.0693,0.2495,0.1907,0.1555,0.2552,0.0638,0.1634,1.3906,53.3801,0.16,0.1135,0.0904,0.0675,0.2178,0.3623,0.29,0.2338,0.1399,0.1393,0.1446,1.3381,0.6858,0.2491,0.6008,3.0098,46.6832,0.1758,0.1649
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P055,4,0.0725,0.1105,0.0824,0.1519,0.1745,0.2256,0.2332,0.0661,0.1456,1.3409,60.6945,0.1158,0.1468,0.1028,0.0788,0.218,0.3381,0.1513,0.1717,0.2125,0.2146,0.1325,1.3055,0.6221,0.2159,0.5336,2.2878,64.329,0.1815,0.1996
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P056,4,0.0639,0.1044,0.0742,0.1694,0.1825,0.1636,0.2632,0.0707,0.169,1.4068,64.8039,0.1777,0.1416,0.1007,0.0806,0.1871,0.2996,0.2188,0.2262,0.2479,0.1863,0.1108,1.2491,0.576,0.2311,0.4969,1.9755,64.9775,0.0775,0.122
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P057,6,0.044,0.0767,0.0541,0.1346,0.1861,0.263,0.2596,0.0552,0.1723,1.4162,66.3134,0.0722,0.1517,0.0897,0.0519,0.2818,0.4509,0.183,0.0915,0.0983,0.2194,0.2665,1.7266,0.7934,0.2308,0.6682,4.0283,58.7608,0.1028,0.1969
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P058,7,0.0453,0.0806,0.0549,0.1768,0.1245,0.2156,0.2844,0.0609,0.1893,1.467,76.7546,0.0879,0.1391,0.0813,0.0536,0.2672,0.4458,0.1863,0.2227,0.1499,0.0907,0.2049,1.5153,0.7852,0.2505,0.6916,4.4853,75.402,0.1329,0.1684
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P059,5,0.0497,0.0762,0.0601,0.1733,0.1113,0.2068,0.1851,0.0425,0.1176,1.2665,72.4455,0.0513,0.1385,0.1023,0.0711,0.2141,0.3488,0.1588,0.1744,0.1701,0.1305,0.1801,1.4393,0.6614,0.2393,0.5464,2.4096,65.3154,0.0743,0.097
"Arapahoe, NC",Neuse River Turf,23SOFT,StAug,2024-08-16,P060,4,0.0548,0.0855,0.0655,0.1963,0.196,0.1944,0.2082,0.0507,0.1326,1.3057,59.4122,0.1175,0.1718,0.106,0.0812,0.1904,0.3058,0.1941,0.1729,0.111,0.1813,0.1323,1.3049,0.5802,0.2324,0.4851,1.8844,70.35,0.1346,0.2048
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P001,7,0.0436,0.0788,0.0532,0.0981,0.1355,0.1994,0.2897,0.0609,0.194,1.4815,87.1178,0.0512,0.182,0.0863,0.0521,0.2813,0.4663,0.144,0.1606,0.1211,0.149,0.2468,1.6554,0.799,0.2474,0.6878,4.4062,70.8329,0.1194,0.0988
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P002,5,0.0633,0.0975,0.0732,0.0945,0.1522,0.1838,0.2267,0.0586,0.1427,1.3328,63.2396,0.1287,0.2262,0.0983,0.0715,0.2226,0.3576,0.22,0.1901,0.1404,0.1884,0.1575,1.3738,0.6666,0.2326,0.5689,2.6392,59.5295,0.147,0.1497
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P003,5,0.0614,0.0998,0.071,0.1908,0.1499,0.2292,0.2632,0.0673,0.1687,1.4058,66.0428,0.1345,0.0916,0.0866,0.0603,0.2804,0.441,0.2128,0.1904,0.2425,0.1227,0.1794,1.4371,0.7594,0.2226,0.6716,4.0895,72.7967,0.1593,0.2023
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P004,4,0.0704,0.1117,0.0801,0.1382,0.2802,0.155,0.2602,0.0728,0.1646,1.3942,64.3916,0.1703,0.155,0.0988,0.0693,0.223,0.3553,0.1114,0.2789,0.1512,0.0848,0.1753,1.4251,0.6734,0.2287,0.5648,2.596,72.5998,0.1553,0.1495
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P005,7,0.0427,0.0752,0.0524,0.128,0.1273,0.1487,0.2688,0.0553,0.1789,1.4356,70.1444,0.1301,0.1174,0.0876,0.0524,0.2704,0.4516,0.1651,0.2119,0.1129,0.1638,0.2517,1.6726,0.7921,0.2511,0.675,4.1534,62.9284,0.0676,0.1726
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P006,5,0.0466,0.0766,0.0569,0.1628,0.2355,0.122,0.227,0.0498,0.1478,1.3469,81.1666,0.1216,0.1608,0.0974,0.0707,0.2129,0.3547,0.1782,0.1664,0.2599,0.2096,0.1593,1.3789,0.6678,0.2498,0.569,2.6403,66.685,0.1125,0.1407
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P007,7,0.0422,0.0761,0.052,0.0569,0.1521,0.2123,0.2807,0.058,0.1882,1.4637,79.912,0.1324,0.1535,0.084,0.0569,0.2708,0.449,0.1411,0.097,0.0996,0.1749,0.1918,1.4746,0.7749,0.2477,0.6849,4.3482,65.1964,0.1082,0.1582
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P008,6,0.0714,0.1161,0.0802,0.1821,0.2142,0.0878,0.2878,0.0807,0.1831,1.4484,86.4578,0.1133,0.1923,0.0949,0.0674,0.2234,0.3808,0.1255,0.1307,0.1811,0.2059,0.169,1.4066,0.6991,0.2605,0.6011,3.0144,59.7057,0.102,0.1692
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P009,4,0.0553,0.0928,0.0659,0.1564,0.0678,0.2031,0.2601,0.0644,0.1695,1.4082,52.5078,0.1365,0.113,0.101,0.0759,0.1976,0.3149,0.2578,0.2071,0.1989,0.2559,0.1419,1.3307,0.6116,0.229,0.5144,2.1185,68.6695,0.1233,0.1846
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P010,6,0.0434,0.0743,0.0536,0.1153,0.2332,0.1683,0.2446,0.0516,0.1616,1.3856,65.7909,0.0478,0.1179,0.0662,0.0508,0.3348,0.5163,0.183,0.2092,0.3139,0.1644,0.1321,1.3045,0.8209,0.2133,0.7726,6.7952,79.0295,0.1291,0.0922
"Burgaw, NC",Quality Turf,23SOFT,StAug,2024-09-26,P011,6,0.051,0.0894,0.0607,0.2525,0.1241,0.1382,0.2894,0.0671,0.1911,1.4724,73.5821,0.1002,0.137,0.0975,0.0686,0.2154,0.3699,0.1708,0.1605,0.2402,0.1847,0.1736,1.4202,0.687,0.264,0.5829,2.7946,73.5657,0.0828,0.1565
